crim,zn,indus,chas,nox,rm,age,dis,rad,tax,ptratio,lstat,medv
1.34284,0,19.58,0,0.605,6.066,100,1.7573,5,403,14.7,6.43,24.3
1.23247,0,8.14,0,0.538,6.142,91.7,3.9769,4,307,21,18.72,15.2
0.01501,80,2.01,0,0.435,6.635,29.7,8.344,4,280,17,5.99,24.5
2.81838,0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,10.42,21.8
0.19186,0,7.38,0,0.493,6.431,14.7,5.4159,5,287,19.6,5.08,24.6
2.14918,0,19.58,0,0.871,5.709,98.5,1.6232,5,403,14.7,15.79,19.4
0.11432,0,8.56,0,0.52,6.781,71.3,2.8561,5,384,20.9,7.67,26.5
0.07896,0,12.83,0,0.437,6.273,6,4.2515,5,398,18.7,6.78,24.1
0.08447,0,4.05,0,0.51,5.859,68.7,2.7019,5,296,16.6,9.64,22.6
0.1029,30,4.93,0,0.428,6.358,52.9,7.0355,6,300,16.6,11.22,22.2
0.0456,0,13.89,1,0.55,5.888,56,3.1121,5,276,16.4,13.51,23.3
9.33889,0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,24.08,9.5
3.67822,0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,10.19,20.8
2.44668,0,19.58,0,0.871,5.272,94,1.7364,5,403,14.7,16.14,13.1
0.08873,21,5.64,0,0.439,5.963,45.7,6.8147,4,243,16.8,13.45,19.7
5.82115,0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,10.29,20.2
0.21409,22,5.86,0,0.431,6.438,8.9,7.3967,7,330,19.1,3.59,24.8
0.63796,0,8.14,0,0.538,6.096,84.5,4.4619,4,307,21,10.26,18.2
0.22927,0,6.91,0,0.448,6.03,85.5,5.6894,3,233,17.9,18.8,16.6
13.9134,0,18.1,0,0.713,6.208,95,2.2222,24,666,20.2,15.17,11.7
0.85204,0,8.14,0,0.538,5.965,89.2,4.0123,4,307,21,13.83,19.6
0.09103,0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,4.82,37.9
0.03237,0,2.18,0,0.458,6.998,45.8,6.0622,3,222,18.7,2.94,33.4
0.1712,0,8.56,0,0.52,5.836,91.9,2.211,5,384,20.9,18.66,19.5
8.79212,0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,17.16,11.7
10.0623,0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,19.69,14.1
0.537,0,6.2,0,0.504,5.981,68.1,3.6715,8,307,17.4,11.65,24.3
4.89822,0,18.1,0,0.631,4.97,100,1.3325,24,666,20.2,3.26,50
0.06588,0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,7.56,39.8
9.32909,0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,18.13,14.1
0.10084,0,10.01,0,0.547,6.715,81.6,2.6775,6,432,17.8,10.16,22.8
0.52014,20,3.97,0,0.647,8.398,91.5,2.2885,5,264,13,5.91,48.8
6.44405,0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,12.03,16.1
0.76162,20,3.97,0,0.647,5.56,62.8,1.9865,5,264,13,10.45,22.8
0.09512,0,12.83,0,0.437,6.286,45,4.5026,5,398,18.7,8.94,21.4
0.0837,45,3.44,0,0.437,7.185,38.9,4.5667,5,398,15.2,5.39,34.9
0.01432,100,1.32,0,0.411,6.816,40.5,8.3248,5,256,15.1,3.95,31.6
0.04294,28,15.04,0,0.464,6.249,77.3,3.615,4,270,18.2,10.59,20.6
5.09017,0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,17.27,16.1
0.1403,22,5.86,0,0.431,6.487,13,7.3967,7,330,19.1,5.9,24.4
0.02731,0,7.07,0,0.469,6.421,78.9,4.9671,2,242,17.8,9.14,21.6
0.98843,0,8.14,0,0.538,5.813,100,4.0952,4,307,21,19.88,14.5
0.02498,0,1.89,0,0.518,6.54,59.7,6.2669,1,422,15.9,8.65,16.5
9.96654,0,18.1,0,0.74,6.485,100,1.9784,24,666,20.2,18.85,15.4
0.03427,0,5.19,0,0.515,5.869,46.3,5.2311,5,224,20.2,9.8,19.5
12.8023,0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,23.79,10.8
0.38735,0,25.65,0,0.581,5.613,95.6,1.7572,2,188,19.1,27.26,15.7
5.87205,0,18.1,0,0.693,6.405,96,1.6768,24,666,20.2,19.37,12.5
0.03359,75,2.95,0,0.428,7.024,15.8,5.4011,3,252,18.3,1.98,34.9
0.13914,0,4.05,0,0.51,5.572,88.5,2.5961,5,296,16.6,14.69,23.1
3.69311,0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,14.65,17.7
0.13642,0,10.59,0,0.489,5.891,22.3,3.9454,4,277,18.6,10.87,22.6
25.0461,0,18.1,0,0.693,5.987,100,1.5888,24,666,20.2,26.77,5.6
0.02187,60,2.93,0,0.401,6.8,9.9,6.2196,1,265,15.6,5.03,31.1
0.02763,75,2.95,0,0.428,6.595,21.8,5.4011,3,252,18.3,4.32,30.8
8.24809,0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,16.74,17.8
0.13158,0,10.01,0,0.547,6.176,72.5,2.7301,6,432,17.8,12.04,21.2
0.04379,80,3.37,0,0.398,5.787,31.1,6.6115,4,337,16.1,10.24,19.4
0.19539,0,10.81,0,0.413,6.245,6.2,5.2873,4,305,19.2,7.54,23.4
0.08265,0,13.92,0,0.437,6.127,18.4,5.5027,4,289,16,8.58,23.9
0.52693,0,6.2,0,0.504,8.725,83,2.8944,8,307,17.4,4.63,50
0.0351,95,2.68,0,0.4161,7.853,33.2,5.118,4,224,14.7,3.81,48.5
0.14052,0,10.59,0,0.489,6.375,32.3,3.9454,4,277,18.6,9.38,28.1
0.07503,33,2.18,0,0.472,7.42,71.9,3.0992,7,222,18.4,6.47,33.4
0.05059,0,4.49,0,0.449,6.389,48,4.7794,3,247,18.5,9.62,23.9
0.35233,0,21.89,0,0.624,6.454,98.4,1.8498,4,437,21.2,14.59,17.1
8.98296,0,18.1,1,0.77,6.212,97.4,2.1222,24,666,20.2,17.6,17.8
1.61282,0,8.14,0,0.538,6.096,96.9,3.7598,4,307,21,20.34,13.5
0.14103,0,13.92,0,0.437,5.79,58,6.32,4,289,16,15.84,20.3
2.01019,0,19.58,0,0.605,7.929,96.2,2.0459,5,403,14.7,3.7,50
24.3938,0,18.1,0,0.7,4.652,100,1.4672,24,666,20.2,28.28,10.5
0.26363,0,8.56,0,0.52,6.229,91.2,2.5451,5,384,20.9,15.55,19.4
0.25915,0,21.89,0,0.624,5.693,96,1.7883,4,437,21.2,17.19,16.2
0.1146,20,6.96,0,0.464,6.538,58.7,3.9175,3,223,18.6,7.73,24.4
2.33099,0,19.58,0,0.871,5.186,93.8,1.5296,5,403,14.7,28.32,17.8
11.1081,0,18.1,0,0.668,4.906,100,1.1742,24,666,20.2,34.77,13.8
5.29305,0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,18.76,23.2
0.01965,80,1.76,0,0.385,6.23,31.5,9.0892,1,241,18.2,12.93,20.1
9.82349,0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,21.24,13.3
0.22489,12.5,7.87,0,0.524,6.377,94.3,6.3467,5,311,15.2,20.45,15
0.09068,45,3.44,0,0.437,6.951,21.5,6.4798,5,398,15.2,5.1,37
0.2498,0,21.89,0,0.624,5.857,98.2,1.6686,4,437,21.2,21.32,13.3
0.62976,0,8.14,0,0.538,5.949,61.8,4.7075,4,307,21,8.26,20.4
5.58107,0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,16.22,14.3
0.06899,0,25.65,0,0.581,5.87,69.7,2.2577,2,188,19.1,14.37,22
0.22969,0,10.59,0,0.489,6.326,52.5,4.3549,4,277,18.6,10.97,24.4
1.6566,0,19.58,0,0.871,6.122,97.3,1.618,5,403,14.7,14.1,21.5
9.39063,0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,22.88,12.8
0.01311,90,1.22,0,0.403,7.249,21.9,8.6966,5,226,17.9,4.81,35.4
0.05515,33,2.18,0,0.472,7.236,41.1,4.022,7,222,18.4,6.93,36.1
0.07875,45,3.44,0,0.437,6.782,41.1,3.7886,5,398,15.2,6.68,32
0.0136,75,4,0,0.41,5.888,47.6,7.3197,3,469,21.1,14.8,18.9
0.07022,0,4.05,0,0.51,6.02,47.2,3.5549,5,296,16.6,10.11,23.2
0.33147,0,6.2,0,0.507,8.247,70.4,3.6519,8,307,17.4,3.95,48.3
0.14932,25,5.13,0,0.453,5.741,66.2,7.2254,8,284,19.7,13.15,18.7
6.80117,0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,14.7,20
0.37578,0,10.59,1,0.489,5.404,88.6,3.665,4,277,18.6,23.98,19.3
0.10153,0,12.83,0,0.437,6.279,74.5,4.0522,5,398,18.7,11.97,20
0.0187,85,4.15,0,0.429,6.516,27.7,8.5353,4,351,17.9,6.36,23.1
0.5405,20,3.97,0,0.575,7.47,52.6,2.872,5,264,13,3.16,43.5
0.16439,22,5.86,0,0.431,6.433,49.1,7.8265,7,330,19.1,9.52,24.5
0.57529,0,6.2,0,0.507,8.337,73.3,3.8384,8,307,17.4,2.47,41.7
0.22188,20,6.96,1,0.464,7.691,51.8,4.3665,3,223,18.6,6.58,35.2
0.03445,82.5,2.03,0,0.415,6.162,38.4,6.27,2,348,14.7,7.43,24.1
0.0578,0,2.46,0,0.488,6.98,58.4,2.829,3,193,17.8,5.04,37.2
28.6558,0,18.1,0,0.597,5.155,100,1.5894,24,666,20.2,20.08,16.3
0.06888,0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,9.45,36.2
4.54192,0,18.1,0,0.77,6.398,88,2.5182,24,666,20.2,7.79,25
11.8123,0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,22.74,8.4
0.62739,0,8.14,0,0.538,5.834,56.5,4.4986,4,307,21,8.47,19.9
0.15038,0,25.65,0,0.581,5.856,97,1.9444,2,188,19.1,25.41,17.3
0.17505,0,5.96,0,0.499,5.966,30.2,3.8473,5,279,19.2,10.13,24.7
2.37934,0,19.58,0,0.871,6.13,100,1.4191,5,403,14.7,27.8,13.8
0.14866,0,8.56,0,0.52,6.727,79.9,2.7778,5,384,20.9,9.42,27.5
20.0849,0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,30.63,8.8
1.35472,0,8.14,0,0.538,6.072,100,4.175,4,307,21,13.04,14.5
0.03306,0,5.19,0,0.515,6.059,37.3,4.8122,5,224,20.2,8.51,20.6
0.06664,0,4.05,0,0.51,6.546,33.1,3.1323,5,296,16.6,5.33,29.4
0.13058,0,10.01,0,0.547,5.872,73.1,2.4775,6,432,17.8,15.37,20.4
4.26131,0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,12.67,22.6
0.20608,22,5.86,0,0.431,5.593,76.5,7.9549,7,330,19.1,12.5,17.6
0.12757,30,4.93,0,0.428,6.393,7.8,7.0355,6,300,16.6,5.19,23.7
0.31827,0,9.9,0,0.544,5.914,83.2,3.9986,4,304,18.4,18.33,17.8
3.77498,0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,17.15,19
0.05735,0,4.49,0,0.449,6.63,56.1,4.4377,3,247,18.5,6.53,26.6
0.09178,0,4.05,0,0.51,6.416,84.1,2.6463,5,296,16.6,9.04,23.6
0.21038,20,3.33,0,0.4429,6.812,32.2,4.1007,5,216,14.9,4.85,35.1
0.21161,0,8.56,0,0.52,6.137,87.4,2.7147,5,384,20.9,13.44,19.3
3.8497,0,18.1,1,0.77,6.395,91,2.5052,24,666,20.2,13.27,21.7
7.99248,0,18.1,0,0.7,5.52,100,1.5331,24,666,20.2,24.56,12.3
0.19073,22,5.86,0,0.431,6.718,17.5,7.8265,7,330,19.1,6.56,26.2
13.3598,0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,16.35,12.7
5.82401,0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,10.74,23
11.5779,0,18.1,0,0.7,5.036,97,1.77,24,666,20.2,25.68,9.7
0.01501,90,1.21,1,0.401,7.923,24.8,5.885,1,198,13.6,3.16,50
1.51902,0,19.58,1,0.605,8.375,93.9,2.162,5,403,14.7,3.32,50
15.5757,0,18.1,0,0.58,5.926,71,2.9084,24,666,20.2,18.13,19.1
0.09266,34,6.09,0,0.433,6.495,18.4,5.4917,7,329,16.1,8.67,26.4
0.33045,0,6.2,0,0.507,6.086,61.5,3.6519,8,307,17.4,10.88,24
0.28955,0,10.59,0,0.489,5.412,9.8,3.5875,4,277,18.6,29.55,23.7
0.06617,0,3.24,0,0.46,5.868,25.8,5.2146,4,430,16.9,9.97,19.3
3.32105,0,19.58,1,0.871,5.403,100,1.3216,5,403,14.7,26.82,13.4
4.83567,0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,11.45,20.6
73.5341,0,18.1,0,0.679,5.957,100,1.8026,24,666,20.2,20.62,8.8
14.3337,0,18.1,0,0.614,6.229,88,1.9512,24,666,20.2,13.11,21.4
0.17331,0,9.69,0,0.585,5.707,54,2.3817,6,391,19.2,12.01,21.8
38.3518,0,18.1,0,0.693,5.453,100,1.4896,24,666,20.2,30.59,5
0.12802,0,8.56,0,0.52,6.474,97.1,2.4329,5,384,20.9,12.27,19.8
0.03584,80,3.37,0,0.398,6.29,17.8,6.6115,4,337,16.1,4.67,23.5
1.20742,0,19.58,0,0.605,5.875,94.6,2.4259,5,403,14.7,14.43,17.4
6.53876,0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,2.96,50
15.288,0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,23.24,13.9
4.42228,0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,21.32,19.1
0.1,34,6.09,0,0.433,6.982,17.7,5.4917,7,329,16.1,4.86,33.1
4.03841,0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,12.87,19.6
0.03537,34,6.09,0,0.433,6.59,40.4,5.4917,7,329,16.1,9.5,22
0.17783,0,9.69,0,0.585,5.569,73.5,2.3999,6,391,19.2,15.1,17.5
0.1676,0,7.38,0,0.493,6.426,52.3,4.5404,5,287,19.6,7.2,23.8
0.06151,0,5.19,0,0.515,5.968,58.5,4.8122,5,224,20.2,9.29,18.7
1.27346,0,19.58,1,0.605,6.25,92.6,1.7984,5,403,14.7,5.5,27
0.07165,0,25.65,0,0.581,6.004,84.1,2.1974,2,188,19.1,14.27,20.3
0.04527,0,11.93,0,0.573,6.12,76.7,2.2875,1,273,21,9.08,20.6
0.04544,0,3.24,0,0.46,6.144,32.2,5.8736,4,430,16.9,9.09,19.8
9.18702,0,18.1,0,0.7,5.536,100,1.5804,24,666,20.2,23.6,11.3
0.05188,0,4.49,0,0.449,6.015,45.1,4.4272,3,247,18.5,12.86,22.5
0.05644,40,6.41,1,0.447,6.758,32.9,4.0776,4,254,17.6,3.53,32.4
0.02543,55,3.78,0,0.484,6.696,56.4,5.7321,5,370,17.6,7.18,23.9
8.05579,0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,18.14,13.8
0.01096,55,2.25,0,0.389,6.453,31.9,7.3073,1,300,15.3,8.23,22
0.00906,90,2.97,0,0.4,7.088,20.8,7.3073,1,285,15.3,7.85,32.2
0.04462,25,4.86,0,0.426,6.619,70.4,5.4007,4,281,19,7.22,23.9
2.44953,0,19.58,0,0.605,6.402,95.2,2.2625,5,403,14.7,11.32,22.3
0.1415,0,6.91,0,0.448,6.169,6.6,5.7209,3,233,17.9,5.81,25.3
0.25356,0,9.9,0,0.544,5.705,77.7,3.945,4,304,18.4,11.5,16.2
0.31533,0,6.2,0,0.504,8.266,78.3,2.8944,8,307,17.4,4.14,44.8
0.95577,0,8.14,0,0.538,6.047,88.8,4.4534,4,307,21,17.28,14.8
14.2362,0,18.1,0,0.693,6.343,100,1.5741,24,666,20.2,20.32,7.2
3.1636,0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,14.13,19.9
0.55007,20,3.97,0,0.647,7.206,91.6,1.9301,5,264,13,8.1,36.5
15.1772,0,18.1,0,0.74,6.152,100,1.9142,24,666,20.2,26.45,8.7
11.9511,0,18.1,0,0.659,5.608,100,1.2852,24,666,20.2,12.13,27.9
0.05479,33,2.18,0,0.472,6.616,58.1,3.37,7,222,18.4,8.93,28.4
0.18836,0,6.91,0,0.448,5.786,33.3,5.1004,3,233,17.9,14.15,20
0.04981,21,5.64,0,0.439,5.998,21.4,6.8147,4,243,16.8,8.43,23.4
0.09378,12.5,7.87,0,0.524,5.889,39,5.4509,5,311,15.2,15.71,21.7
9.72418,0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,19.52,17.1
0.04741,0,11.93,0,0.573,6.03,80.8,2.505,1,273,21,7.88,11.9
0.03049,55,3.78,0,0.484,6.874,28.1,6.4654,5,370,17.6,4.61,31.2
0.06642,0,4.05,0,0.51,6.86,74.4,2.9153,5,296,16.6,6.92,29.9
4.87141,0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,18.68,16.7
0.41238,0,6.2,0,0.504,7.163,79.9,3.2157,8,307,17.4,6.36,31.6
7.83932,0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,13.22,21.4
0.05602,0,2.46,0,0.488,7.831,53.6,3.1992,3,193,17.8,4.45,50
0.08664,45,3.44,0,0.437,7.178,26.3,6.4798,5,398,15.2,2.87,36.4
1.80028,0,19.58,0,0.605,5.877,79.2,2.4259,5,403,14.7,12.14,23.8
15.8603,0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,24.39,8.3
0.0566,0,3.41,0,0.489,7.007,86.3,3.4217,2,270,17.8,5.5,23.6
0.17171,25,5.13,0,0.453,5.966,93.4,6.8185,8,284,19.7,14.44,16
0.17142,0,6.91,0,0.448,5.682,33.8,5.1004,3,233,17.9,10.21,19.3
9.92485,0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,16.44,12.6
1.62864,0,21.89,0,0.624,5.019,100,1.4394,4,437,21.2,34.41,14.4
0.08829,12.5,7.87,0,0.524,6.012,66.6,5.5605,5,311,15.2,12.43,22.9
0.06911,45,3.44,0,0.437,6.739,30.8,6.4798,5,398,15.2,4.69,30.5
1.19294,0,21.89,0,0.624,6.326,97.7,2.271,4,437,21.2,12.26,19.6
37.6619,0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,14.52,10.9
2.37857,0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,13.34,20.6
24.8017,0,18.1,0,0.693,5.349,96,1.7028,24,666,20.2,19.77,8.3
0.08826,0,10.81,0,0.413,6.417,6.6,5.2873,4,305,19.2,6.72,24.2
15.0234,0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,24.91,12
0.05497,0,5.19,0,0.515,5.985,45.4,4.8122,5,224,20.2,9.74,19
13.0751,0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,14.76,20.1
0.04684,0,3.41,0,0.489,6.417,66.1,3.0923,2,270,17.8,8.81,22.6
9.2323,0,18.1,0,0.631,6.216,100,1.1691,24,666,20.2,9.53,50
0.04337,21,5.64,0,0.439,6.115,63,6.8147,4,243,16.8,9.43,20.5
7.36711,0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,21.52,11
0.01951,17.5,1.38,0,0.4161,7.104,59.5,9.2229,3,216,18.6,8.05,33
18.0846,0,18.1,0,0.679,6.434,100,1.8347,24,666,20.2,29.05,7.2
5.20177,0,18.1,1,0.77,6.127,83.4,2.7227,24,666,20.2,11.48,22.7
0.33983,22,5.86,0,0.431,6.108,34.9,8.0555,7,330,19.1,9.16,24.3
25.9406,0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,26.64,10.4
0.09299,0,25.65,0,0.581,5.961,92.9,2.0869,2,188,19.1,17.93,20.5
0.16211,20,6.96,0,0.464,6.24,16.3,4.429,3,223,18.6,6.59,25.2
0.07151,0,4.49,0,0.449,6.121,56.8,3.7476,3,247,18.5,8.44,22.2
0.15936,0,6.91,0,0.448,6.211,6.5,5.7209,3,233,17.9,7.44,24.7
0.06263,0,11.93,0,0.573,6.593,69.1,2.4786,1,273,21,9.67,22.4
13.5222,0,18.1,0,0.631,3.863,100,1.5106,24,666,20.2,13.33,23.1
0.15098,0,10.01,0,0.547,6.021,82.6,2.7474,6,432,17.8,10.3,19.2
0.13587,0,10.59,1,0.489,6.064,59.1,4.2392,4,277,18.6,14.66,24.4
0.09849,0,25.65,0,0.581,5.879,95.8,2.0063,2,188,19.1,17.58,18.8
0.82526,20,3.97,0,0.647,7.327,94.5,2.0788,5,264,13,11.25,31
10.233,0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,18.03,14.6
2.63548,0,9.9,0,0.544,4.973,37.8,2.5194,4,304,18.4,12.64,16.1
0.05372,0,13.92,0,0.437,6.549,51,5.9604,4,289,16,7.39,27.1
0.52058,0,6.2,1,0.507,6.631,76.5,4.148,8,307,17.4,9.54,25.1
0.06129,20,3.33,1,0.4429,7.645,49.7,5.2119,5,216,14.9,3.01,46
0.05425,0,4.05,0,0.51,6.315,73.4,3.3175,5,296,16.6,6.29,24.6
2.924,0,19.58,0,0.605,6.101,93,2.2834,5,403,14.7,9.81,25
0.21977,0,6.91,0,0.448,5.602,62,6.0877,3,233,17.9,16.2,19.4
2.73397,0,19.58,0,0.871,5.597,94.9,1.5257,5,403,14.7,21.45,15.4
